"comprimento_asa","peso","local"
22.03,89.06,"suecia"
24.83,100.49,"suecia"
21.62,87.37,"suecia"
19.47,77.55,"suecia"
23.02,90.96,"suecia"
18.51,73.81,"suecia"
25.84,105.08,"suecia"
24.13,100.62,"suecia"
23.95,98.34,"suecia"
20.55,84.29,"suecia"
21.18,86.45,"suecia"
20.49,85.93,"suecia"
22.58,92.45,"suecia"
25.11,99.14,"suecia"
22.2,92,"suecia"
20.98,86.22,"suecia"
21.51,90.17,"suecia"
25.95,104.79,"suecia"
25.1,103.86,"suecia"
23.21,94.4,"suecia"
25.3,103.78,"suecia"
22.83,93.85,"suecia"
21.06,87.31,"suecia"
22.55,92.39,"suecia"
21.14,88.23,"suecia"
22.47,89.61,"suecia"
23.35,96.81,"suecia"
22.43,90.31,"suecia"
21.64,89.96,"suecia"
19.34,75.65,"suecia"
17.77,72.17,"suecia"
20.11,83.82,"suecia"
23.27,97.8,"suecia"
21.55,89.99,"suecia"
23.78,96.03,"suecia"
20,82.93,"suecia"
20.91,85.61,"suecia"
21.39,90.33,"suecia"
24.07,101.16,"suecia"
20.62,82.65,"suecia"
20.92,82.91,"suecia"
19.3,79.78,"suecia"
19.39,80.85,"suecia"
26.35,108.23,"suecia"
20.76,86.1,"suecia"
20.97,85.75,"suecia"
23.53,94.96,"suecia"
22.72,96.96,"suecia"
21.57,85.02,"suecia"
22,90.82,"suecia"
28.76,120.18,"dinamarca"
33.28,139.75,"dinamarca"
35.55,154.26,"dinamarca"
30.1,121.93,"dinamarca"
33.05,135.54,"dinamarca"
30.41,122.73,"dinamarca"
31.86,127.42,"dinamarca"
34.44,149.31,"dinamarca"
35.2,146.75,"dinamarca"
29.3,126.84,"dinamarca"
32.82,129.11,"dinamarca"
29.5,126.15,"dinamarca"
31.17,126.33,"dinamarca"
34.84,140.17,"dinamarca"
33.68,138.97,"dinamarca"
38.99,159.11,"dinamarca"
29.73,125.97,"dinamarca"
30.7,125.78,"dinamarca"
31.47,127.99,"dinamarca"
31.62,129.29,"dinamarca"
31.74,132.29,"dinamarca"
31.71,128.56,"dinamarca"
31.85,128.5,"dinamarca"
30.31,122.62,"dinamarca"
30.29,124.95,"dinamarca"
36.23,141.36,"dinamarca"
31.6,131.07,"dinamarca"
32.4,130.25,"dinamarca"
32.83,135.64,"dinamarca"
30.56,128.73,"dinamarca"
30.61,127.38,"dinamarca"
29.57,119.05,"dinamarca"
31.13,122.13,"dinamarca"
27.53,110.4,"dinamarca"
30.12,120.95,"dinamarca"
32.05,122.83,"dinamarca"
35.69,141.7,"dinamarca"
34.02,143.19,"dinamarca"
31.18,120.6,"dinamarca"
28.01,111.17,"dinamarca"
30.1,116.74,"dinamarca"
32.6,141.35,"dinamarca"
31.19,125.65,"dinamarca"
32.6,129.55,"dinamarca"
34.03,145.52,"dinamarca"
28.84,117.24,"dinamarca"
31.92,133.08,"dinamarca"
31.5,132.73,"dinamarca"
31.58,127.23,"dinamarca"
34.17,141.94,"dinamarca"
38.63,192.44,"noruega"
34.94,177.58,"noruega"
38.81,196.4,"noruega"
37.74,190.86,"noruega"
35.99,184.41,"noruega"
37.81,197.86,"noruega"
40.25,209.75,"noruega"
36.41,190.91,"noruega"
38.39,198.52,"noruega"
40.61,207.59,"noruega"
36.78,182.54,"noruega"
39.86,205.25,"noruega"
39.15,199.47,"noruega"
36.95,191.02,"noruega"
36.95,187.68,"noruega"
36.86,189.83,"noruega"
40.94,214.2,"noruega"
36.06,178.28,"noruega"
37.58,189.85,"noruega"
36.85,187.49,"noruega"
36.71,190.83,"noruega"
38.17,199.29,"noruega"
37.83,189.55,"noruega"
32.28,167.28,"noruega"
36.87,188.46,"noruega"
40.46,202.27,"noruega"
37.56,193.32,"noruega"
36,183.12,"noruega"
34.17,174.91,"noruega"
36.66,184.44,"noruega"
34.48,182.96,"noruega"
40.25,209.39,"noruega"
37.28,186.54,"noruega"
41.47,215.95,"noruega"
39.1,206.03,"noruega"
36.52,190.61,"noruega"
39.39,200.09,"noruega"
35.6,178.4,"noruega"
37.95,188.4,"noruega"
39.82,201.53,"noruega"
37.76,193.91,"noruega"
37.55,195.3,"noruega"
38.25,199.62,"noruega"
39.18,197.62,"noruega"
36.21,191.83,"noruega"
37.48,191.04,"noruega"
37.94,193.13,"noruega"
39.43,200.98,"noruega"
37.79,197.15,"noruega"
39,203.56,"noruega"
21.9,185.71,"islandia"
24.5,180.98,"islandia"
24.02,183.22,"islandia"
20.76,181.44,"islandia"
22,173.15,"islandia"
30.48,182.2,"islandia"
24.38,181,"islandia"
18.81,178.79,"islandia"
19.33,177.37,"islandia"
27.36,176.91,"islandia"
20.83,175.79,"islandia"
25.87,177.17,"islandia"
14.85,179.06,"islandia"
21.34,179.02,"islandia"
20.84,170.58,"islandia"
22.79,175.54,"islandia"
24.45,180.4,"islandia"
18.79,176.68,"islandia"
27.26,188.27,"islandia"
24.65,178.22,"islandia"
23.67,184.55,"islandia"
20.6,185.27,"islandia"
18.65,176.79,"islandia"
22.3,177.07,"islandia"
20.65,181.68,"islandia"
18.08,175.88,"islandia"
21.29,177.26,"islandia"
24.28,189.2,"islandia"
22.53,185.37,"islandia"
24.04,181.5,"islandia"
26.8,178.31,"islandia"
19.3,182.22,"islandia"
23.84,177.04,"islandia"
24.59,175.58,"islandia"
24.24,180.72,"islandia"
25.57,182.3,"islandia"
20.39,182.57,"islandia"
22.65,184.56,"islandia"
20.65,170.98,"islandia"
20.13,172.23,"islandia"
22.35,177.36,"islandia"
24.1,180.94,"islandia"
19.01,180.83,"islandia"
18.94,177.54,"islandia"
25.24,182.19,"islandia"
21.41,180.72,"islandia"
18.16,180.46,"islandia"
24.83,177.04,"islandia"
22.14,179.87,"islandia"
24.32,178.91,"islandia"
17.97,177.03,"islandia"
20.93,176.59,"islandia"
17.23,176.91,"islandia"
17.57,175.27,"islandia"
23.72,183.84,"islandia"
25.48,184.18,"islandia"
21.48,187.08,"islandia"
26.73,180.33,"islandia"
22.69,181.43,"islandia"
25.14,183.04,"islandia"
